icao24,origin_country,velocity,on_ground
a40d65,United States,31.91,False
a00915,United States,58.25,False
a41447,United States,14.4,True
3b7b9e,France,57.75,False
343194,Spain,223.95,False
885223,Thailand,271.23,False
ab14aa,United States,7.2,True
a4fa28,United States,42.99,False
8014b4,India,211.18,False
ab774b,United States,128.52,False
c0481b,Canada,198.4,False
4a09b2,Romania,231.98,False
ad0725,United States,221.56,False
a2c118,United States,123.68,False
ad0721,United States,252.74,False
e0b215,Argentina,217.17,False
8014ad,India,230.58,False
c8244c,New Zealand,122.64,False
aa2a00,United States,22.6,False
a00929,United States,0.0,True
e4808c,Brazil,156.89,False
a39113,United States,135.3,False
4aca82,Sweden,143.89,False
a3a4ed,United States,0.9,True
accd10,United States,173.59,False
4aca84,Sweden,257.92,False
4aca83,Sweden,248.05,False
4aca86,Sweden,133.98,False
a4c4e9,United States,4.37,True
ab5d52,United States,223.48,False
4aca88,Sweden,77.39,False
c81d7e,New Zealand,4.12,True
8a047a,Indonesia,238.93,False
accd18,United States,166.87,False
800da0,India,240.29,False
a091f3,United States,73.94,False
e07585,Argentina,277.15,False
a1512f,United States,192.78,False
a0f4f6,United States,221.23,False
4aca7a,Sweden,63.67,False
800da3,India,135.69,False
51603f,Montenegro,9.77,True
a3ed7c,United States,5.92,True
a64d51,United States,63.51,False
ab5d4a,United States,10.29,True
a21abf,United States,57.85,False
a91700,United States,194.77,False
00b1f2,South Africa,221.37,False
a1b449,United States,230.85,False
a65454,United States,228.6,False
a0f4ff,United States,34.88,False
4aca92,Sweden,4.37,True
4aca95,Sweden,0.0,True
c81d8e,New Zealand,6.69,True
4aca99,Sweden,88.9,False
4aca98,Sweden,88.4,False
accd09,United States,95.25,False
a14a77,United States,47.47,False
a5d1a2,United States,266.47,False
a3ed91,United States,256.23,False
aaf4c8,United States,285.05,False
a88d11,United States,156.86,False
4aca8a,Sweden,90.85,False
4aca8d,Sweden,261.11,False
75833c,Philippines,232.51,False
a7d725,United States,3.86,True
ac47de,United States,211.49,False
4aca8e,Sweden,219.22,False
a857c2,United States,148.16,False
a22dff,United States,107.05,False
a6f28c,United States,0.77,True
a3f401,United States,223.35,False
ae1418,United States,135.82,False
e492b0,Brazil,244.82,False
e49eeb,Brazil,250.78,False
e492b5,Brazil,75.73,False
14fc06,Russian Federation,176.35,False
ab14f5,United States,58.22,False
3c5eef,Germany,168.82,False
8014da,India,212.47,False
3c5eee,Germany,220.33,False
8014db,India,230.54,False
e49ef1,Brazil,251.07,False
ac1ab8,United States,198.36,False
344487,Spain,191.97,False
ac6a24,United States,32.49,False
3c65da,Germany,242.11,False
ac2dea,United States,169.77,False
4400f3,Austria,222.82,False
a3b7cb,United States,240.68,False
ae1404,United States,106.08,False
a40d8d,United States,204.41,False
a41487,United States,272.91,False
49530a,Portugal,239.4,False
49530b,Portugal,168.35,False
49530c,Portugal,224.28,False
a6670c,United States,236.56,False
